filename,min_wave,max_wave
galaxy_20185_goods-n-mediumhst_spectrum.fits,19566.714919697064,19802.553187110047
galaxy_25351_goods-n-mediumjwst_spectrum.fits,20551.68174586846,20799.391851282704
galaxy_28187_goods-n-mediumhst_spectrum.fits,20942.367697670637,21194.786753890054
galaxy_65099_goods-n-mediumhst_spectrum.fits,18969.36240719042,19198.00076485041
galaxy_804_goods-n-mediumhst_spectrum.fits,23205.288274718347,23484.982388113905
galaxy_988_goods-n-mediumhst_spectrum.fits,36397.42806771406,36836.12748194927
galaxy_10000885_goods-n-mediumjwst_spectrum.fits,26895.632663525615,27219.806620900374
galaxy_10009642_goods-s-mediumjwst1180_spectrum.fits,29065.486362871587,29415.813639242075
galaxy_1048_goods-n-mediumhst_spectrum.fits,24245.637022438983,24537.870493983042
galaxy_1109_goods-n-mediumhst_spectrum.fits,24481.567814419297,24776.644967666616
galaxy_110_goods-n-mediumjwst_spectrum.fits,25205.878385010732,25509.685677718775
galaxy_1121_goods-n-mediumhst_spectrum.fits,21614.190134744327,21874.706689200866
galaxy_1137_goods-n-mediumhst_spectrum.fits,23204.028182683043,23483.707108147282
galaxy_13369_goods-s-mediumhst_spectrum.fits,21964.37608374791,22229.113441125344
galaxy_15529_goods-n-mediumjwst_spectrum.fits,24244.539207995538,24536.759447545504
galaxy_17566_goods-s-deephst_spectrum.fits,35352.82238461107,35778.93113171365
galaxy_17722_goods-n-mediumjwst_spectrum.fits,29544.493239331543,29900.594001557314
galaxy_1882_goods-n-mediumhst_spectrum.fits,32075.14906061039,32461.75190183912
galaxy_1927_goods-n-mediumhst_spectrum.fits,23193.003480901483,23472.54952526751
galaxy_1949_goods-n-mediumhst_spectrum.fits,24176.14669215784,24467.542594433748
galaxy_206035_goods-s-mediumjwst1180_spectrum.fits,28742.64352312824,29089.079563985553
galaxy_21150_goods-s-deephst_spectrum.fits,20349.405583139593,20594.677647219218
galaxy_22481_goods-n-mediumhst_spectrum.fits,21578.364482135174,21838.44922880615
galaxy_2347_goods-n-mediumhst_spectrum.fits,33032.57051819474,33430.71319217861
galaxy_23682_goods-n-mediumhst_spectrum.fits,20538.565321499933,20786.11733421387
galaxy_23742_goods-n-mediumhst_spectrum.fits,20542.261204154758,20789.857763465585
galaxy_24755_goods-n-mediumhst_spectrum.fits,19815.217260652524,20054.05073506778
galaxy_25603_goods-n-mediumjwst_spectrum.fits,19856.585412778997,20095.917498911327
galaxy_26113_goods-n-mediumhst_spectrum.fits,21037.400091129453,21290.964575956245
galaxy_26566_goods-n-mediumhst_spectrum.fits,20551.90388884281,20799.616671753734
galaxy_27003_goods-n-mediumhst_spectrum.fits,32833.220566331926,33228.960468698315
galaxy_27145_goods-n-mediumhst_spectrum.fits,20870.46592401226,21122.01834575608
galaxy_27286_goods-n-mediumhst_spectrum.fits,20560.436235371966,20808.25185894013
galaxy_28746_goods-n-mediumjwst_spectrum.fits,26948.198673792216,27273.00621104162
galaxy_2945_goods-n-mediumhst_spectrum.fits,21583.137127587135,21843.279399112893
galaxy_29648_goods-n-mediumjwst_spectrum.fits,19709.387083995563,19946.944983762485
galaxy_3008_goods-n-mediumhst_spectrum.fits,27552.585474295585,27884.677705805778
galaxy_33828_goods-s-mediumjwst_spectrum.fits,25625.94336391663,25934.81371382322
galaxy_34104_goods-s-mediumjwst_spectrum.fits,32889.80324468173,33286.225139957125
galaxy_3451_goods-n-mediumhst_spectrum.fits,20789.844161298457,21040.424846247814
galaxy_3892_goods-s-deephst_spectrum.fits,18952.38297054382,19180.816674487698
galaxy_39898_goods-s-mediumjwst_spectrum.fits,20755.035857860374,21005.19699716765
galaxy_4270_goods-s-deephst_spectrum.fits,25003.82691391858,25305.198873507794
galaxy_42789_goods-s-mediumjwst_spectrum.fits,18950.064267878923,19178.47002442226
galaxy_45976_goods-s-mediumjwst1180_spectrum.fits,20325.929150233103,20570.918252084044
galaxy_54612_goods-s-mediumjwst_spectrum.fits,20326.27596864134,20571.269250706122
galaxy_59412_goods-n-mediumjwst_spectrum.fits,30780.126869705247,31151.12076528225
galaxy_634_goods-n-mediumhst_spectrum.fits,24775.029639623575,25073.643898036073
galaxy_643_goods-n-mediumhst_spectrum.fits,31595.166473376205,31975.984068475154
galaxy_70920_goods-n-mediumjwst_spectrum.fits,30045.096285932417,30407.23083337234
galaxy_71890_goods-n-mediumjwst_spectrum.fits,21972.061096670586,22236.89108176505
galaxy_78773_goods-n-mediumjwst_spectrum.fits,30799.444287463066,31170.671016520475
galaxy_82948_goods-n-mediumjwst_spectrum.fits,24420.96677673573,24715.313503655005
galaxy_902_goods-n-mediumhst_spectrum.fits,25194.11194019591,25497.77741155223
galaxy_946_goods-n-mediumhst_spectrum.fits,28349.39803794856,28691.09427785955
